condition,projection,bits,context,sample_id,block_index,n_tokens,input_sha256,labels_sha256,nll,delta_nll,kl
BF16,none,16,2048,35,120,2048,2a6a0c3843fb9876d3c15da81a5d7793ae4ef5a612471f58c6eee2b6bda5a500,780f6a0375f372d30edcd4c5a61f1bc4544aa4fc1b334e7f43aaa46236482054,2.7797136306762695,0.0,0.0
BF16,none,16,2048,36,49,2048,bbf015dc98d089a483ee657bb417b2f8df90908e49032f9ef4f09bfa44a6802a,18c916d13b82b14e38589a1d0c4835e4df2bb26eefb4bb07ccf03ef0be081bab,2.4590415954589844,0.0,0.0
BF16,none,16,2048,37,50,2048,4db36b854aa496a979993dae42abfa30d51669c4089495df01169bfd82246d33,351074286b5a34fa8adf99e04d3644cc163def76a9aae628478b069e5a32f044,2.829340696334839,0.0,0.0
BF16,none,16,2048,38,88,2048,6f66de84b84ada174908af403445d9b255009b390102e9dc9760b816611b66dd,49a7c93f0f2af5f780fffea7064d9d241e2509dced42c3abbd32a56e492ce2aa,2.750183582305908,0.0,0.0
BF16,none,16,2048,39,86,2048,f61d15167f8d4133ea214c6666aea81a11ca189ca4a51df3d7df4a9f32dbfc41,c5e210333fdce11cf0ffc53cbd016048c41ba65eea40da1ebf27e6289a545d74,2.415377140045166,0.0,0.0
BF16,none,16,2048,40,69,2048,ecb1483dc2e18caffacf41f5e510aeeee70b01740c46e4d338fbff394cfa1e65,79231f9fedce47c9c1feb74a08316a3b500170a537fc2f2351a8f8a721821c13,2.6431453227996826,0.0,0.0
BF16,none,16,2048,41,96,2048,60c27b336ed6a8c18fcde80ee352f70080acee19cc854da8827c632921b61b5e,8c3e5ff1d60b7548fcd1a4f8c417514060ed9b659b7a5a575c14ef1925104cfd,2.9062180519104004,0.0,0.0
BF16,none,16,2048,42,111,2048,054544cd89aed87b240dcb8f3350fd75fa66f9e7b310fa040ad62159998db107,13a648594c238852dd1b3abf875dd8bf4a1978c053d642bddd1692473a3e7152,2.3877222537994385,0.0,0.0
BF16,none,16,2048,43,104,2048,194b0036f6eed8ac0679b3de5ab18e204fa3e36fe5703a2f511e81d630aaf9a3,064c0b4ec4484b608e9ebe64d56ee52bae7dec939a75c427cf6d456609ede927,2.7560887336730957,0.0,0.0
BF16,none,16,2048,44,134,2048,6623021a970793613e7d29b9cfdb580ba70f8beeadf6f8022203685ee0d04d09,35a8240aced5f3342922bc29b4c3a0f2797fc85b5a25fdda70f322c4a98d814a,2.979818344116211,0.0,0.0
BF16,none,16,2048,45,67,2048,5b7435eb8294094e094a8a5701b004aef2f50a4d5ff8da62df0d653d0d147c91,9f3d068bd2e1e4d34eb11f4d46868290394a0457735daae194d9535eeb8749f6,2.4715359210968018,0.0,0.0
BF16,none,16,2048,46,52,2048,c42df66f179fec4bed6bc6ea75bb298576f34b33edb5192c11fbecd6ee5e2dbf,8efaca47c011af5cc3dbcc9976937b2db472b6883165a4b61b1c6d482177dd2e,2.3901333808898926,0.0,0.0
BF16,none,16,2048,47,123,2048,2b2bc4354b0f7c5298df20248b65999583dc40b7b5d8913860b58d4f31a67d71,92ec347e73f2c28e990fe2c167de0f568f58956826ad0a2ae3285dff6b3f6549,2.2739033699035645,0.0,0.0
BF16,none,16,2048,48,10,2048,b75ad37e7d25a7dc1e7d9e7e93724b6215417732940da4816877f2402295aa1b,6b09c3f673f36dba501cbeb6fdaae7f5829b08b1355f8db9c3c876f6379e35f8,2.655754804611206,0.0,0.0
BF16,none,16,2048,49,59,2048,795245b19899ac5ff529bac36cee69fad97689199431ad73acbed17d3dd720c0,d71ce66ffdcabc51b81db45c39f52e1e86cf9f8fe0444582f1fe9f503c045052,2.2765865325927734,0.0,0.0
BF16,none,16,2048,50,90,2048,3eb8eb91c811f87efaeebe3e66e4f3897e5654c9e36a9d97d28cc38f7eaf90cf,30805a0e8a337cc57db7f2c0b50be3bcdf3272a1346162ff31b1ad6889f9fc52,2.8457467555999756,0.0,0.0
